"WATER_SYSTEM_NUMBER","WATER_SYSTEM_NAME","CITY","COUNTY","ZIPCODE","CLASSIFICATION","POPULATION","SERVICE_CONNECTIONS","REGULATING_AGENCY","VIOLATION_NUMBER","VIOLATION_TYPE_NAME","ANALYTE_NAME","RESULT","MCL","VIOL_BEGIN_DATE","VIOL_END_DATE","ENF_ACTION_NUMBER","ENF_ACTION_ISSUE_DATE","ENF_ACTION_TYPE_ISSUED","inTulareBasin"
"CA1000213","HARRIS FARMS/HORSE BARN","COALINGA","FRESNO","93210","COMMUNITY","100","20","DISTRICT 23 - FRESNO","1223024","RES DISINFECT CONCENTRATION (SWTR)","SWTR","NA","NA","2014-02-01","2014-02-28","1223006","2011-12-20","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1000213","HARRIS FARMS/HORSE BARN","COALINGA","FRESNO","93210","COMMUNITY","100","20","DISTRICT 23 - FRESNO","1223039","MCL, LRAA","TTHM","0.0968 MG/L","0.080 MG/L","2017-01-01","2017-03-31","1223012","2014-10-07","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1000221","WASHINGTON UNION HIGH SCHOOL","FRESNO","FRESNO","93706","NON-TRANSIENT NON-COMMUNITY","1000","23","DISTRICT 23 - FRESNO","1023027","MCL,  AVERAGE","GROSS ALPHA PARTICLE ACTIVITY","22.5 PCI/L","15 PCI/L","2018-01-01","2018-03-31","923005","2013-12-31","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1000221","WASHINGTON UNION HIGH SCHOOL","FRESNO","FRESNO","93706","NON-TRANSIENT NON-COMMUNITY","1000","23","DISTRICT 23 - FRESNO","1023034","MCL,  AVERAGE","1,2-DIBROMO-3-CHLOROPROPANE","0.000243 MG/L","0.0002 MG/L","2018-01-01","2018-03-31","923002","2009-04-10","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1000221","WASHINGTON UNION HIGH SCHOOL","FRESNO","FRESNO","93706","NON-TRANSIENT NON-COMMUNITY","1000","23","DISTRICT 23 - FRESNO","1023035","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE","0.008 UG/L","0.005 UG/L","2018-04-01","2018-06-30","923010","2018-06-07","CA STATE ACTION ISSUED",true
"CA1000248","DOUBLE L MOBILE RANCH PARK","FRESNO","FRESNO","93706","COMMUNITY","80","37","DISTRICT 23 - FRESNO","1223039","MCL,  AVERAGE","COMBINED URANIUM","21.0 PCI/L","20 PCI/L","2015-10-01","2015-12-31","1123016","2011-08-01","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1000248","DOUBLE L MOBILE RANCH PARK","FRESNO","FRESNO","93706","COMMUNITY","80","37","DISTRICT 23 - FRESNO","1223044","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE","0.062 UG/L","0.005 UG/L","2018-01-01","2018-03-31","1323035","2018-03-21","CA STATE ACTION ISSUED",true
"CA1000316","KINGS CANYON HIGH SCHOOL","DINUBA","FRESNO","93618","NON-TRANSIENT NON-COMMUNITY","120","2","DISTRICT 23 - FRESNO","812012","MCL,  AVERAGE","1,2-DIBROMO-3-CHLOROPROPANE","0.000205 MG/L","0.0002 MG/L","2017-07-01","2017-09-30","912345","2017-01-30","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1000316","KINGS CANYON HIGH SCHOOL","DINUBA","FRESNO","93618","NON-TRANSIENT NON-COMMUNITY","120","2","DISTRICT 23 - FRESNO","812013","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE","0.014 UG/L","0.005 UG/L","2018-01-01","2018-03-31","912346","2018-03-22","CA STATE ACTION ISSUED",true
"CA1000345","PANOCHE WATER DISTRICT","FIREBAUGH","FRESNO","93622","COMMUNITY","146","46","DISTRICT 23 - FRESNO","9600003","RES DISINFECT CONCENTRATION (SWTR)","SWTR","NA","NA","2014-11-01","2014-11-30","9600065","2015-01-21","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1000345","PANOCHE WATER DISTRICT","FIREBAUGH","FRESNO","93622","COMMUNITY","146","46","DISTRICT 23 - FRESNO","9600011","MCL, LRAA","TTHM","0.116 MG/L","0.080 MG/L","2015-10-01","2015-12-31","9600068","2017-02-15","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1000345","PANOCHE WATER DISTRICT","FIREBAUGH","FRESNO","93622","COMMUNITY","146","46","DISTRICT 23 - FRESNO","9600015","MONTHLY COMB. FILTER EFFLUENT (SWTR","TURBIDITY","NA","NA","2017-09-01","2017-09-30","9600069","2017-10-13","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1000345","PANOCHE WATER DISTRICT","FIREBAUGH","FRESNO","93622","COMMUNITY","146","46","DISTRICT 23 - FRESNO","9600018","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.0708 MG/L","0.060 MG/L","2017-10-01","2017-12-31","9600076","2018-03-02","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1000359","FCSA #32/CANTUA CREEK","CANTUA CREEK","FRESNO","93608","COMMUNITY","255","79","DISTRICT 23 - FRESNO","9600045","MCL, LRAA","TTHM","0.1298 MG/L","0.080 MG/L","2017-10-01","2017-12-31","9600015","2014-11-07","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1000359","FCSA #32/CANTUA CREEK","CANTUA CREEK","FRESNO","93608","COMMUNITY","255","79","DISTRICT 23 - FRESNO","9600046","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.0668 MG/L","0.060 MG/L","2017-10-01","2017-12-31","9600015","2014-11-07","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1000377","ST NICHOLAS RANCH & RETREAT","DUNLAP","FRESNO","93621","COMMUNITY","25","2","DISTRICT 23 - FRESNO","1223036","MCL,  AVERAGE","COMBINED URANIUM","28.7 PCI/L","20 PCI/L","2016-07-01","2016-09-30","1323024","2014-05-14","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1000407","GEORGE COX WATER SYSTEM","REEDLEY","FRESNO","93654","COMMUNITY","40","20","DISTRICT 23 - FRESNO","923014","MCL,  AVERAGE","1,2-DIBROMO-3-CHLOROPROPANE","0.00022 MG/L","0.0002 MG/L","2016-07-01","2016-09-30","1123474","2016-09-08","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1000484","FCSA #34/ MILLERTON NEW TOWN","MILLERTON LAKE","FRESNO","93626","COMMUNITY","722","259","DISTRICT 23 - FRESNO","711010","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.0733 MG/L","0.060 MG/L","2017-10-01","2017-12-31","811010","2017-03-06","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1000546","FCSA #49/ FIVE POINTS","FIVE POINTS","FRESNO","93624","COMMUNITY","134","46","DISTRICT 23 - FRESNO","1223028","MCL, LRAA","TTHM","0.0873 MG/L","0.080 MG/L","2017-07-01","2017-09-30","1323009","2017-12-20","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1000546","FCSA #49/ FIVE POINTS","FIVE POINTS","FRESNO","93624","COMMUNITY","134","46","DISTRICT 23 - FRESNO","1223013","MCL,  AVERAGE","TOTAL HALOACETIC ACIDS (HAA5)","0.0781 MG/L","0.060 MG/L","2013-10-01","2013-12-31","1323004","2014-11-07","STATE INTENTIONAL NO ACTION TAKEN",false
"CA1000577","DUNLAP LEADERSHIP ACADEMY","DUNLAP","FRESNO","93621","NON-TRANSIENT NON-COMMUNITY","78","2","DISTRICT 23 - FRESNO","1123017","MCL,  AVERAGE","COMBINED URANIUM","37.8 PCI/L","20 PCI/L","2017-10-01","2017-12-31","1123003","2011-08-01","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1009006","PAPPAS & CO (COALINGA)","FRESNO","FRESNO","93711","COMMUNITY","25","11","DISTRICT 23 - FRESNO","9800014","RES DISINFECT CONCENTRATION (SWTR)","SWTR","NA","NA","2014-04-01","2014-04-30","9600027","2014-08-01","INFORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009006","PAPPAS & CO (COALINGA)","FRESNO","FRESNO","93711","COMMUNITY","25","11","DISTRICT 23 - FRESNO","9800043","MCL, LRAA","TTHM","0.1675 MG/L","0.080 MG/L","2017-10-01","2017-12-31","9600029","2014-11-07","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009006","PAPPAS & CO (COALINGA)","FRESNO","FRESNO","93711","COMMUNITY","25","11","DISTRICT 23 - FRESNO","9800053","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.1165 MG/L","0.060 MG/L","2017-10-01","2017-12-31","9600036","2015-11-09","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009006","PAPPAS & CO (COALINGA)","FRESNO","FRESNO","93711","COMMUNITY","25","11","DISTRICT 23 - FRESNO","9800032","MONTHLY COMB. FILTER EFFLUENT (SWTR","TURBIDITY","NA","NA","2016-06-01","2016-06-30","9600026","2013-11-12","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009027","HARRIS FARMS HEADQUARTERS","COALINGA","FRESNO","93210","COMMUNITY","300","80","DISTRICT 23 - FRESNO","1223068","RES DISINFECT CONCENTRATION (SWTR)","SWTR","NA","NA","2014-02-01","2014-02-28","1023005","2009-10-06","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009027","HARRIS FARMS HEADQUARTERS","COALINGA","FRESNO","93210","COMMUNITY","300","80","DISTRICT 23 - FRESNO","1223082","MCL, LRAA","TTHM","0.092 MG/L","0.080 MG/L","2015-10-01","2015-12-31","1323052","2014-10-07","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009027","HARRIS FARMS HEADQUARTERS","COALINGA","FRESNO","93210","COMMUNITY","300","80","DISTRICT 23 - FRESNO","1223088","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.0873 MG/L","0.060 MG/L","2017-01-01","2017-03-31","1323054","2015-11-18","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009028","HARRIS FARMS SOUTH #101-144","COALINGA","FRESNO","93210","COMMUNITY","160","40","DISTRICT 23 - FRESNO","1223035","MCL, LRAA","TTHM","0.084 MG/L","0.080 MG/L","2015-10-01","2015-12-31","1123007","2014-10-08","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009028","HARRIS FARMS SOUTH #101-144","COALINGA","FRESNO","93210","COMMUNITY","160","40","DISTRICT 23 - FRESNO","1223023","RES DISINFECT CONCENTRATION (SWTR)","SWTR","NA","NA","2013-12-01","2013-12-31","1123004","2014-05-05","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009028","HARRIS FARMS SOUTH #101-144","COALINGA","FRESNO","93210","COMMUNITY","160","40","DISTRICT 23 - FRESNO","1223041","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.098 MG/L","0.060 MG/L","2017-01-01","2017-03-31","1123009","2015-11-10","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009039","PAPPAS & CO (MENDOTA)","FRESNO","FRESNO","93711","COMMUNITY","25","12","DISTRICT 23 - FRESNO","1223040","RES DISINFECT CONCENTRATION (SWTR)","SWTR","NA","NA","2015-04-01","2015-04-30","1223017","2015-07-06","INFORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009039","PAPPAS & CO (MENDOTA)","FRESNO","FRESNO","93711","COMMUNITY","25","12","DISTRICT 23 - FRESNO","1223051","MCL, LRAA","TTHM","0.175 MG/L","0.080 MG/L","2017-10-01","2017-12-31","1223014","2014-11-07","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009051","CANTUA CREEK VINEYARDS, IV, LLC.","CANTUA CREEK","FRESNO","93608","COMMUNITY","50","15","DISTRICT 23 - FRESNO","9600016","MCL,  AVERAGE","ARSENIC","0.034 MG/L","0.010 MG/L","2017-10-01","2017-12-31","9600024","2014-10-07","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1009078","HARRIS FEEDING COMPANY","COALINGA","FRESNO","93210","COMMUNITY","225","20","DISTRICT 23 - FRESNO","1223040","RES DISINFECT CONCENTRATION (SWTR)","SWTR","NA","NA","2015-04-01","2015-04-30","1223022","2015-07-06","INFORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009078","HARRIS FEEDING COMPANY","COALINGA","FRESNO","93210","COMMUNITY","225","20","DISTRICT 23 - FRESNO","1223049","MCL, LRAA","TTHM","0.855 MG/L","0.080 MG/L","2017-01-01","2017-03-31","1223018","2014-10-08","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009111","SCE/BIG CREEK POWERHOUSE #1","BIG CREEK","FRESNO","93605","COMMUNITY","126","76","DISTRICT 23 - FRESNO","823007","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.064 MG/L","0.060 MG/L","2015-07-01","2015-09-30","923007","2015-12-11","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009111","SCE/BIG CREEK POWERHOUSE #1","BIG CREEK","FRESNO","93605","COMMUNITY","126","76","DISTRICT 23 - FRESNO","823008","MONTHLY COMB. FILTER EFFLUENT (SWTR","TURBIDITY","NA","NA","2018-04-01","2018-04-30","923009","2018-05-09","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009222","TERRA LINDA FARMS","FIVE POINTS","FRESNO","93624","COMMUNITY","40","11","DISTRICT 23 - FRESNO","1223015","RES DISINFECT CONCENTRATION (SWTR)","SWTR","NA","NA","2012-03-01","2012-03-31","1223004","2012-04-16","INFORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009222","TERRA LINDA FARMS","FIVE POINTS","FRESNO","93624","COMMUNITY","40","11","DISTRICT 23 - FRESNO","1223028","MCL, LRAA","TTHM","0.086 MG/L","0.080 MG/L","2017-04-01","2017-06-30","1323007","2017-08-14","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009222","TERRA LINDA FARMS","FIVE POINTS","FRESNO","93624","COMMUNITY","40","11","DISTRICT 23 - FRESNO","1223031","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.0828 MG/L","0.060 MG/L","2017-10-01","2017-12-31","1323007","2017-08-14","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009258","SAN ANDREAS FARMS","CANTUA CREEK","FRESNO","93608","COMMUNITY","50","7","DISTRICT 23 - FRESNO","1223028","MCL,  AVERAGE","TTHM","0.099 MG/L","0.080 MG/L","2014-01-01","2014-03-31","1023005","2014-07-01","RETURN TO COMPLIANCE",false
"CA1009258","SAN ANDREAS FARMS","CANTUA CREEK","FRESNO","93608","COMMUNITY","50","7","DISTRICT 23 - FRESNO","1223029","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.068 MG/L","0.060 MG/L","2018-04-01","2018-06-30","1023008","2018-07-19","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009281","HAMMONDS RANCH","FIREBAUGH","FRESNO","93622","COMMUNITY","50","16","DISTRICT 23 - FRESNO","1223036","MCL, LRAA","TTHM","0.0853 MG/L","0.080 MG/L","2017-10-01","2017-12-31","1123006","2015-05-04","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1009281","HAMMONDS RANCH","FIREBAUGH","FRESNO","93622","COMMUNITY","50","16","DISTRICT 23 - FRESNO","1223043","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.0978 MG/L","0.060 MG/L","2017-10-01","2017-12-31","1123007","2015-10-29","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1010025","CITY OF PARLIER","PARLIER","FRESNO","93648","COMMUNITY","12058","2505","DISTRICT 23 - FRESNO","9811011","MCL,  AVERAGE","1,2,3-TRICHLOROPROPANE","0.100 UG/L","0.005 UG/L","2018-01-01","2018-03-31","9811020","2018-05-08","CA STATE ACTION ISSUED",true
"CA1010039","CARUTHERS COMM SERV DIST","CARUTHERS","FRESNO","93609","COMMUNITY","2503","696","DISTRICT 23 - FRESNO","1223054","MCL,  AVERAGE","ARSENIC","0.0135 MG/L","0.010 MG/L","2018-01-01","2018-03-31","923003","2009-01-15","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1010039","CARUTHERS COMM SERV DIST","CARUTHERS","FRESNO","93609","COMMUNITY","2503","696","DISTRICT 23 - FRESNO","1223038","MCL,  AVERAGE","ETHYLENE DIBROMIDE","0.000073 MG/L","0.00005 MG/L","2014-10-01","2014-12-31","9312004","2015-01-20","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1010044","HURON, CITY OF","HURON","FRESNO","93234","COMMUNITY","7306","876","DISTRICT 23 - FRESNO","9611037","MCL, LRAA","TTHM","0.087 MG/L","0.080 MG/L","2017-10-01","2017-12-31","9712012","2014-10-06","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1010044","HURON, CITY OF","HURON","FRESNO","93234","COMMUNITY","7306","876","DISTRICT 23 - FRESNO","9611026","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.074 MG/L","0.060 MG/L","2016-01-01","2016-03-31","9712012","2014-10-06","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1300018","GATEWAY","EL CENTRO","IMPERIAL","92243","COMMUNITY","1800","22","LPA43 - IMPERIAL COUNTY","1300001","MCL,  AVERAGE","TTHM","0.124 MG/L","0.080 MG/L","2013-01-01","2013-03-31","1300214","2013-07-16","INFORMAL ENFORCEMENT ACTION ISSUED",false
"CA1300616","PALO VERDE COUNTY WATER DIST.","PALO VERDE","IMPERIAL","92266","COMMUNITY","410","134","LPA43 - IMPERIAL COUNTY","1400065","MCL,  AVERAGE","TTHM","0.97 MG/L","0.080 MG/L","2014-01-01","2014-03-31","1500229","2014-11-14","CA STATE ACTION ISSUED",false
"CA1310006","IMPERIAL, CITY OF","IMPERIAL","IMPERIAL","92251","COMMUNITY","17095","5380","DISTRICT 14 - SAN DIEGO","914018","MCL, LRAA","TTHM",".095 MG/L","0.080 MG/L","2017-10-01","2017-12-31","9614010","2017-11-30","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1310013","SEELEY CWD","SEELEY","IMPERIAL","92273","COMMUNITY","2124","449","DISTRICT 14 - SAN DIEGO","1214060","MCL, LRAA","TTHM","0.138 MG/L","0.080 MG/L","2017-10-01","2017-12-31","9614016","2016-05-10","FORMAL ENFORCEMENT ACTION WITH PENALTY ISSUED",false
"CA1310013","SEELEY CWD","SEELEY","IMPERIAL","92273","COMMUNITY","2124","449","DISTRICT 14 - SAN DIEGO","1214055","MCL,  AVERAGE","TOTAL HALOACETIC ACIDS (HAA5)","0.070 MG/L","0.060 MG/L","2016-07-01","2016-09-30","9614017","2016-05-10","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1310013","SEELEY CWD","SEELEY","IMPERIAL","92273","COMMUNITY","2124","449","DISTRICT 14 - SAN DIEGO","1214061","MONTHLY COMB. FILTER EFFLUENT (SWTR","TURBIDITY","NA","NA","2016-01-01","2018-03-31","9614019","2018-05-31","FORMAL ENFORCEMENT ACTION ISSUED",false
